concept,label,balance,weight,preferred_sign,2013-09-29,2014-09-28,2015-09-27,2016-10-02,2017-10-01,2018-09-30,2019-09-29,2020-09-27,2021-10-03,2022-10-02,2023-10-01,2024-09-29
Revenue,Revenue,credit,1.0,1.0,11793200000.0,12977900000.0,15197300000.0,16844100000.0,2381100000.0,24719500000.0,26508600000.0,23518000000.0,29060600000.0,32250300000.0,35975600000.0,36176200000.0
CostOfGoodsSold,Cost of Goods Sold,debit,1.0,1.0,6382300000.0,6858800000.0,7787500000.0,8511100000.0,9038200000.0,10174500000.0,8526900000.0,7694900000.0,8738700000.0,10317400000.0,11409100000.0,11180600000.0
GrossProfit,Gross Profit,,,,,,,,,,,,,,,
ResearchAndDevelopment,Research and Development Expense,,,,,,,,,,,,,,,
SellingGeneralAdministrative,"Selling, General and Administrative Expense",debit,1.0,1.0,4286100000.0,4638200000.0,5411100000.0,6064300000.0,6493300000.0,7193200000.0,10493600000.0,10764000000.0,11930900000.0,13561800000.0,14720300000.0,15286500000.0
OtherOperatingIncomeExpense,"Other operating (income) expense, net",,,,,,,,,,,,,,,
OperatingIncome,Operating Income,credit,1.0,1.0,-325400000.0,3081100000.0,3601000000.0,4171900000.0,4134700000.0,3883300000.0,4077900000.0,1561700000.0,4872100000.0,4617800000.0,5870800000.0,5408800000.0
EquityMethodIncome,Equity in net income (loss) of equity method investees,,1.0,1.0,251400000.0,268300000.0,249900000.0,318200000.0,391400000.0,301200000.0,298000000.0,322500000.0,385300000.0,234100000.0,298400000.0,301200000.0
InterestExpense,Interest Expense,debit,-1.0,-1.0,28100000.0,64100000.0,70500000.0,81300000.0,92500000.0,170300000.0,331000000.0,437000000.0,469800000.0,482900000.0,550100000.0,562000000.0
InvestmentIncome,Investment income (net),,1.0,1.0,123600000.0,142700000.0,43000000.0,108000000.0,275300000.0,191400000.0,96500000.0,39700000.0,90100000.0,97000000.0,81200000.0,122800000.0
OtherNonoperatingIncomeExpense,"Other non-operating income (expense), net",,,,-2784100000.0,20200000.0,0.0,0.0,,499200000.0,622800000.0,0.0,,,91300000.0,0.0
PretaxIncome,Income before income taxes (pretax),credit,1.0,1.0,-229900000.0,3159700000.0,3903000000.0,4198600000.0,4317500000.0,5780000000.0,4466200000.0,1164400000.0,5356900000.0,4231900000.0,5401900000.0,4969600000.0
IncomeTaxExpense,Income Tax Expense (Benefit),debit,1.0,1.0,-238700000.0,1092000000.0,1143700000.0,1379700000.0,1432600000.0,1262000000.0,871600000.0,239700000.0,1156600000.0,948500000.0,1277200000.0,1207300000.0
NetIncome,Net Income (Profit/Loss precedence),,1.0,1.0,8800000.0,2067700000.0,2759300000.0,2818900000.0,2884900000.0,4518000000.0,3594600000.0,924700000.0,4200300000.0,3283400000.0,4124700000.0,3762300000.0
NetIncomeAttributableToNCI,Net Income Attributable to Noncontrolling Interest,,-1.0,1.0,500000.0,-400000.0,1900000.0,1200000.0,200000.0,-300000.0,-4600000.0,-3600000.0,1000000.0,1800000.0,200000.0,1400000.0
EPSBasic,Earnings Per Share (Basic),,,1.0,0.01,1.37,1.84,1.91,1.99,3.27,2.95,0.79,3.57,2.85,3.6,3.32
EPSDiluted,Earnings Per Share (Diluted),,,1.0,0.01,1.35,1.82,1.9000000000000001,1.97,3.24,2.92,0.79,3.54,2.83,3.58,3.31
SharesBasic,Weighted Average Shares Outstanding (Basic),,1.0,1.0,1498500000.0,1506300000.0,1495900000.0,1471600000.0,1449500000.0,1382700000.0,1221200000.0,1172800000.0,1177600000.0,1153300000.0,1146800000.0,1133800000.0
SharesDiluted,Weighted Average Shares Outstanding (Diluted),,1.0,1.0,1524500000.0,1526300000.0,1513400000.0,1486700000.0,1461500000.0,1394600000.0,1233200000.0,1181800000.0,1185500000.0,1158500000.0,1151300000.0,1137300000.0
RestructuringImpairment,"Restructuring, settlement and impairment",,,,,,,,153500000.0,224400000.0,135800000.0,278700000.0,170400000.0,46000000.0,21800000.0,0.0
BusinessCombinationBargainGain,Bargain purchase gain (business combinations),,1.0,1.0,0.0,0.0,390600000.0,0.0,0.0,1376400000.0,0.0,0.0,864500000.0,0.0,0.0,0.0
24719500000
2381100000
